host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.00,48.83349,2.31852,Paris,75014,Île-de-France,2,Entire home/apt,0,1,0,75 ,50,0,3,15,8
100%,,1.00,48.851,2.35869,Paris,75004,Ile-de-France,2,Entire home/apt,0,1,1,115 ,36,0,1,90,173
100%,,2.00,48.85758,2.35275,Paris,75004,Île-de-France,4,Entire home/apt,2,1,2,115 ,50,200,10,23,243
100%,,1.00,48.86528,2.39326,Paris,75020,Ile-de-France,3,Entire home/apt,1,1,1,90 ,,,3,365,1
67%,,3.00,48.85899,2.34735,Paris,75001,Île-de-France,2,Entire home/apt,1,1,1,75 ,200,1500,180,365,0
100%,,1.00,48.86227,2.37134,Paris,75011,Ile-de-France,2,Entire home/apt,1,1,1,75 ,20,250,5,120,17
,,4.00,48.88902,2.34656,Paris,75018,Ile-de-France,4,Entire home/apt,,1,1,80 ,36,800,90,730,42
,,4.00,48.88918,2.3449,Paris,75018,Ile-de-France,3,Entire home/apt,,1,1,75 ,,400,30,730,16
100%,,1.00,48.879,2.31608,Paris,75008,Ile-de-France,4,Entire home/apt,1,1,2,90 ,60,600,3,730,40
100%,,2.00,48.8467,2.35095,Paris,75005,Île-de-France,2,Entire home/apt,0,1,1,75 ,,,2,1125,336
74%,,2.00,48.8711,2.37424,Paris,75011,Île-de-France,6,Entire home/apt,1,1,3,157 ,,,1,730,116
100%,,1.00,48.88434,2.34005,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,100 ,80,600,7,90,13
75%,,1.00,48.8635,2.36961,Paris,75011,Ile-de-France,2,Entire home/apt,,1,1,70 ,60,1000,7,730,2
100%,,1.00,48.82405,2.36828,Paris,75013,Île-de-France,3,Entire home/apt,1,1,1,110 ,30,600,2,20,78
90%,,1.00,48.86578,2.37705,Paris,75011,Ile-de-France,3,Entire home/apt,0,1,2,79 ,25,500,30,305,312
,,2.00,48.8509,2.38695,Paris,75011,Ile-de-France,2,Private room,1,1,1,60 ,20,80,6,40,1
100%,,1.00,48.85909,2.37704,Paris,75011,Île-de-France,4,Entire home/apt,2,1,3,100 ,50,500,5,90,11
60%,,1.00,48.88315,2.34158,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,110 ,30,500,7,365,9
,,1.00,48.89052,2.34453,Paris,75018,IDF,3,Entire home/apt,0,1,0,75 ,20,0,3,120,200
100%,,2.00,48.83616,2.36323,Paris,75013,Ile-de-France,5,Entire home/apt,1,1,3,55 ,50,250,4,730,23
100%,,2.00,48.85339,2.36284,Paris,75004,Île-de-France,2,Entire home/apt,1,1,1,78 ,30,250,5,9,339
100%,,9.00,48.85324,2.34171,Paris,75006,Ile-de-France,4,Private room,1,1.5,2,100 ,75,400,5,730,66
90%,,3.00,48.87033,2.37152,Paris,75010,Ile-de-France,4,Entire home/apt,2,1,2,105 ,30,300,2,20,59
100%,,1.00,48.87217,2.36206,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,80 ,60,500,120,1125,1
100%,,2.00,48.88282,2.33272,Paris,75009,Île-de-France,3,Entire home/apt,2,1,2,110 ,,200,2,15,3
100%,,2.00,48.88327,2.33292,Paris,75009,Île-de-France,1,Private room,1,1.5,1,65 ,,,1,10,113
100%,,1.00,48.86093,2.34254,Paris,75001,Ile-de-France,2,Entire home/apt,1,1.5,1,250 ,,2500,3,730,154
100%,,2.00,48.89001,2.34584,Paris,75018,Ile-de-France,4,Entire home/apt,1,1,2,113 ,49,600,2,90,18
59%,,2.00,48.88308,2.33283,Paris,75009,Île-de-France,2,Entire home/apt,0,1,1,49 ,50,100,7,1125,82
100%,,1.00,48.88565,2.35906,Paris,75018,Ile-de-France,3,Entire home/apt,1,1,2,80 ,,200,3,14,2
100%,,3.00,48.83872,2.35297,Paris,75005,Île-de-France,4,Entire home/apt,1,1,2,98 ,60,300,2,90,192
